MUNICÍPIO,TOTAL_REGISTROS,IDEB_medio," ""Taxa de escolarização de 6 a 14 anos de idade""",TAXA_ESCOLARIZACAO,Populacao,Densidade Demografica,ALERTA_MAIS_ATENDIMENTOS,ATENDIMENTOS_POR_100K,CATEGORIA_IDEB,CATEGORIA_DENSIDADE,LATITUDE,LONGITUDE
ABAIARA,231,5.75,99.69,99.69,10038.0,55.51,False,2301.26,IDEB Baixo,Alta Densidade,-7.34588,-39.0416
ACARAPE,495,5.6,97.64,97.64,14027.0,107.9,False,3528.91,IDEB Baixo,Alta Densidade,-4.22083,-38.7055
ACARAU,2368,5.9,99.45,99.45,65264.0,77.47,False,3628.34,IDEB Baixo,Alta Densidade,-2.88769,-40.1183
ACOPIARA,1331,5.4,99.45,99.45,44962.0,19.95,False,2960.28,IDEB Baixo,Baixa Densidade,-6.08911,-39.448
AIUABA,570,6.0,98.87,98.87,14076.0,5.77,False,4049.45,IDEB Alto,Baixa Densidade,-6.57122,-40.1178
ALCANTARAS,211,6.4,99.2,99.2,11369.0,83.74,False,1855.92,IDEB Alto,Alta Densidade,-3.58537,-40.5479
ALTANEIRA,205,6.7,100.0,100.0,6782.0,93.32,False,3022.71,IDEB Alto,Alta Densidade,-6.99837,-39.7356
ALTO SANTO,510,6.1,99.33,99.33,14155.0,12.34,False,3602.97,IDEB Alto,Baixa Densidade,-5.50894,-38.2743
AMONTADA,1302,5.8,96.15,96.15,42156.0,35.88,False,3088.53,IDEB Baixo,Baixa Densidade,-3.36017,-39.8288
ANTONINA DO NORTE,192,5.05,99.08,99.08,7245.0,27.9,False,2650.1,IDEB Baixo,Baixa Densidade,-6.76919,-39.987
APUIARES,219,5.949999999999999,98.27,98.27,12928.0,23.77,False,1694.0,IDEB Baixo,Baixa Densidade,-3.94506,-39.4359
AQUIRAZ,1926,5.6,98.61,98.61,80645.0,167.93,False,2388.24,IDEB Baixo,Alta Densidade,-3.89929,-38.3896
ARACATI,772,6.0,98.76,98.76,75113.0,61.21,False,1027.78,IDEB Alto,Alta Densidade,-4.55826,-37.7679
ARACOIABA,703,5.4,99.22,99.22,25553.0,39.68,False,2751.14,IDEB Baixo,Alta Densidade,-4.36872,-38.8125
ARARENDA,206,8.850000000000001,98.31,98.31,11096.0,32.42,False,1856.52,IDEB Alto,Baixa Densidade,-4.74567,-40.831
ARARIPE,895,5.45,98.26,98.26,19783.0,18.03,False,4524.09,IDEB Baixo,Baixa Densidade,-7.21319,-40.1359
ARATUBA,387,5.55,98.77,98.77,11224.0,93.72,False,3447.97,IDEB Baixo,Alta Densidade,-4.41229,-39.0471
ARNEIROZ,163,5.25,99.45,99.45,7429.0,6.95,False,2194.1,IDEB Baixo,Baixa Densidade,-6.3165,-40.1653
ASSARE,549,5.6,99.55,99.55,21697.0,18.78,False,2530.3,IDEB Baixo,Baixa Densidade,-6.8669,-39.8689
AURORA,586,5.2,99.23,99.23,23714.0,26.77,False,2471.11,IDEB Baixo,Baixa Densidade,-6.93349,-38.9742
BAIXIO,146,5.3,98.68,98.68,5704.0,39.19,False,2559.61,IDEB Baixo,Alta Densidade,-6.71945,-38.7134
BANABUIU,484,5.4,93.94,93.94,17195.0,15.91,False,2814.77,IDEB Baixo,Baixa Densidade,-5.30454,-38.9132
BARBALHA,967,5.2,98.91,98.91,75033.0,123.38,False,1288.77,IDEB Baixo,Alta Densidade,-7.2982,-39.3021
BARREIRA,436,5.6,97.88,97.88,22392.0,86.12,False,1947.12,IDEB Baixo,Alta Densidade,-4.28921,-38.6429
BARRO,363,5.7,99.14,99.14,19381.0,27.25,False,1872.97,IDEB Baixo,Baixa Densidade,-7.17188,-38.7741
BARROQUINHA,654,6.5,96.06,96.06,14567.0,37.78,False,4489.6,IDEB Alto,Alta Densidade,-3.02051,-41.1358
BATURITE,805,5.25,99.01,99.01,35218.0,112.13,False,2285.76,IDEB Baixo,Alta Densidade,-4.32598,-38.8812
BEBERIBE,1445,5.8,98.77,98.77,53114.0,33.26,False,2720.56,IDEB Baixo,Baixa Densidade,-4.17741,-38.1271
BELA CRUZ,864,6.75,99.14,99.14,32775.0,38.92,False,2636.16,IDEB Alto,Alta Densidade,-3.04996,-40.1671
BOA VIAGEM,1387,5.449999999999999,99.03,99.03,50411.0,17.78,False,2751.38,IDEB Baixo,Baixa Densidade,-5.11258,-39.7337
BREJO SANTO,1172,6.35,99.16,99.16,51090.0,78.04,False,2293.99,IDEB Alto,Alta Densidade,-7.48469,-38.9799
CAMOCIM,1452,6.45,98.31,98.31,62326.0,55.63,False,2329.69,IDEB Alto,Alta Densidade,-2.9005,-40.8544
CAMPOS SALES,943,5.3,99.71,99.71,25135.0,23.22,False,3751.74,IDEB Baixo,Baixa Densidade,-7.06761,-40.3687
CANINDE,1618,6.35,99.23,99.23,74174.0,24.46,False,2181.36,IDEB Alto,Baixa Densidade,-4.35162,-39.3155
CAPISTRANO,421,5.35,99.54,99.54,17254.0,76.16,False,2440.01,IDEB Baixo,Alta Densidade,-4.45569,-38.9048
CARIDADE,650,5.85,98.75,98.75,16377.0,17.68,False,3968.98,IDEB Baixo,Baixa Densidade,-4.22514,-39.1912
CARIRE,504,6.5,98.77,98.77,17632.0,23.34,False,2858.44,IDEB Alto,Baixa Densidade,-3.94858,-40.476
CARIRIACU,345,5.45,99.83,99.83,26320.0,41.5,False,1310.79,IDEB Baixo,Alta Densidade,-7.02808,-39.2828
CARIUS,407,6.2,99.76,99.76,17015.0,16.42,False,2392.01,IDEB Alto,Baixa Densidade,-6.52428,-39.4916
CARNAUBAL,275,6.0,99.63,99.63,17210.0,47.38,False,1597.91,IDEB Alto,Alta Densidade,-4.15985,-40.9413
CASCAVEL,1494,6.449999999999999,98.52,98.52,72720.0,86.77,False,2054.46,IDEB Alto,Alta Densidade,-4.12967,-38.2412
CATARINA,272,5.3,99.52,99.52,10243.0,20.98,False,2655.47,IDEB Baixo,Baixa Densidade,-6.12291,-39.8736
CATUNDA,255,8.350000000000001,98.61,98.61,10444.0,13.32,False,2441.59,IDEB Alto,Baixa Densidade,-4.64336,-40.2
CAUCAIA,2930,5.15,98.32,98.32,355679.0,290.77,False,823.78,IDEB Baixo,Alta Densidade,-3.72797,-38.6619
CEDRO,561,6.300000000000001,100.0,100.0,22344.0,30.61,False,2510.74,IDEB Alto,Baixa Densidade,-6.60034,-39.0609
CHAVAL,695,5.85,100.0,100.0,12462.0,52.53,False,5576.95,IDEB Baixo,Alta Densidade,-3.03571,-41.2435
CHORO,546,5.300000000000001,98.81,98.81,12113.0,14.86,False,4507.55,IDEB Baixo,Baixa Densidade,-4.83906,-39.1344
CHOROZINHO,377,6.15,98.25,98.25,20163.0,68.02,False,1869.76,IDEB Alto,Alta Densidade,-4.28873,-38.4986
COREAU,577,7.8,96.88,96.88,20953.0,27.92,False,2753.78,IDEB Alto,Baixa Densidade,-3.5415,-40.6587
CRATEUS,1268,5.9,99.77,99.77,76390.0,25.62,False,1659.9,IDEB Baixo,Baixa Densidade,-5.16768,-40.6536
CRATO,2266,5.95,99.03,99.03,131050.0,115.14,False,1729.11,IDEB Alto,Alta Densidade,-7.2153,-39.4103
CROATA,460,7.25,99.31,99.31,17481.0,25.1,False,2631.43,IDEB Alto,Baixa Densidade,-4.40481,-40.9022
CRUZ,579,8.0,99.57,99.57,29761.0,88.6,False,1945.5,IDEB Alto,Alta Densidade,-2.91813,-40.176
DEPUTADO IRAPUAN PINHEIRO,88,9.100000000000001,98.51,98.51,8932.0,18.96,False,985.22,IDEB Alto,Baixa Densidade,-5.91485,-39.257
ERERE,39,5.2,99.24,99.24,6474.0,17.84,False,602.41,IDEB Baixo,Baixa Densidade,-6.02751,-38.3461
EUSEBIO,512,6.5,99.34,99.34,74170.0,941.03,False,690.31,IDEB Alto,Alta Densidade,-3.8925,-38.4559
FARIAS BRITO,644,6.0,100.0,100.0,18217.0,34.34,False,3535.16,IDEB Alto,Baixa Densidade,-6.92146,-39.5651
FORQUILHA,523,6.35,99.4,99.4,24173.0,42.5,False,2163.57,IDEB Alto,Alta Densidade,-3.79945,-40.2634
FORTALEZA,9364,5.6,97.98,97.98,2428708.0,7775.52,False,385.55,IDEB Baixo,Alta Densidade,-3.71664,-38.5423
FORTIM,277,6.55,99.23,99.23,17294.0,60.68,False,1601.71,IDEB Alto,Alta Densidade,-4.45126,-37.7981
FRECHEIRINHA,212,6.65,98.28,98.28,15657.0,74.46,False,1354.03,IDEB Alto,Alta Densidade,-3.75557,-40.818
GENERAL SAMPAIO,242,5.55,99.38,99.38,6734.0,29.23,False,3593.7,IDEB Baixo,Baixa Densidade,-4.04351,-39.454
GRACA,259,6.5,98.94,98.94,13801.0,53.3,False,1876.68,IDEB Alto,Alta Densidade,-4.04422,-40.749
GRANJA,2518,6.55,98.3,98.3,53344.0,20.03,False,4720.31,IDEB Alto,Baixa Densidade,-3.12788,-40.8372
GRANJEIRO,96,6.4,99.57,99.57,4841.0,43.41,False,1983.06,IDEB Alto,Alta Densidade,-6.88134,-39.2144
GROAIRAS,168,7.1,99.27,99.27,10910.0,70.08,False,1539.87,IDEB Alto,Alta Densidade,-3.91787,-40.3852
GUAIUBA,571,5.2,99.18,99.18,24325.0,95.0,False,2347.38,IDEB Baixo,Alta Densidade,-4.04057,-38.6404
GUARACIABA DO NORTE,1140,7.0,98.51,98.51,42053.0,67.33,False,2710.86,IDEB Alto,Alta Densidade,-4.15814,-40.7476
GUARAMIRANGA,134,6.15,93.77,93.77,5654.0,62.26,False,2370.0,IDEB Alto,Alta Densidade,-4.26248,-38.932
HIDROLANDIA,442,6.4,100.0,100.0,17855.0,19.27,False,2475.5,IDEB Alto,Baixa Densidade,-4.40958,-40.4056
HORIZONTE,625,6.3,98.75,98.75,74755.0,465.6,False,836.06,IDEB Alto,Alta Densidade,-4.1209,-38.4707
IBARETAMA,551,4.6,97.43,97.43,11956.0,13.6,False,4608.56,IDEB Baixo,Baixa Densidade,-4.80376,-38.7501
IBIAPINA,472,6.15,98.76,98.76,23965.0,57.87,False,1969.54,IDEB Alto,Alta Densidade,-3.92403,-40.8911
IBICUITINGA,247,5.6,100.0,100.0,11611.0,27.39,False,2127.29,IDEB Baixo,Baixa Densidade,-4.96999,-38.6362
ICAPUI,503,5.65,99.57,99.57,21433.0,50.86,False,2346.85,IDEB Baixo,Alta Densidade,-4.71206,-37.3531
ICO,1819,4.9,97.56,97.56,62642.0,33.57,False,2903.8,IDEB Baixo,Baixa Densidade,-6.39627,-38.8554
IGUATU,1213,5.25,99.44,99.44,98064.0,98.83,False,1236.95,IDEB Baixo,Alta Densidade,-6.36281,-39.2892
INDEPENDENCIA,627,8.45,99.7,99.7,24024.0,7.46,False,2609.89,IDEB Alto,Baixa Densidade,-5.38789,-40.3085
IPAPORANGA,224,7.7,98.05,98.05,11575.0,16.42,False,1935.21,IDEB Alto,Baixa Densidade,-4.89764,-40.7537
IPAUMIRIM,305,5.55,92.96,92.96,12083.0,43.7,False,2524.21,IDEB Baixo,Alta Densidade,-6.78265,-38.7179
IPU,1002,5.800000000000001,99.34,99.34,41081.0,65.62,False,2439.08,IDEB Baixo,Alta Densidade,-4.31748,-40.7059
IPUEIRAS,630,6.699999999999999,96.94,96.94,36798.0,24.81,False,1712.05,IDEB Alto,Baixa Densidade,-4.53802,-40.7118
IRACEMA,257,5.5,99.63,99.63,14001.0,16.68,False,1835.58,IDEB Baixo,Baixa Densidade,-5.8124,-38.2919
IRAUCUBA,855,6.25,98.23,98.23,23915.0,16.31,False,3575.16,IDEB Alto,Baixa Densidade,-3.74737,-39.7843
ITAICABA,114,6.55,99.7,99.7,7536.0,35.28,False,1512.74,IDEB Alto,Baixa Densidade,-4.67146,-37.833
ITAITINGA,546,5.699999999999999,99.9,99.9,64650.0,420.66,False,844.55,IDEB Baixo,Alta Densidade,-3.96577,-38.5298
ITAPAGE,1070,,,,,,False,,IDEB Baixo,Baixa Densidade,,
ITAPIPOCA,7620,6.050000000000001,98.72,98.72,131123.0,81.93,False,5811.34,IDEB Alto,Alta Densidade,-3.49933,-39.5836
ITAPIUNA,1178,6.1,97.47,97.47,17841.0,30.07,False,6602.77,IDEB Alto,Baixa Densidade,-4.55516,-38.9281
ITAREMA,3080,5.95,98.53,98.53,42957.0,60.09,False,7169.96,IDEB Alto,Alta Densidade,-2.9248,-39.9167
ITATIRA,1591,6.4,98.36,98.36,20424.0,24.62,False,7789.86,IDEB Alto,Baixa Densidade,-4.52608,-39.6202
JAGUARETAMA,831,5.75,98.38,98.38,17232.0,9.43,False,4822.42,IDEB Baixo,Baixa Densidade,-5.6051,-38.7639
JAGUARIBARA,441,5.9,98.54,98.54,10356.0,16.62,False,4258.4,IDEB Baixo,Baixa Densidade,-5.67765,-38.5359
JAGUARIBE,1214,6.0,99.67,99.67,33726.0,17.97,False,3599.6,IDEB Alto,Baixa Densidade,-5.90213,-38.6227
JAGUARUANA,1544,5.95,96.74,96.74,31701.0,37.1,False,4870.51,IDEB Alto,Alta Densidade,-4.83151,-37.781
JARDIM,1655,5.199999999999999,98.49,98.49,27411.0,50.3,False,6037.72,IDEB Baixo,Alta Densidade,-7.57599,-39.2826
JATI,335,5.65,98.46,98.46,7861.0,21.34,False,4261.54,IDEB Baixo,Baixa Densidade,-7.6797,-39.0029
JIJOCA DE JERICOACOARA,746,8.75,99.34,99.34,25555.0,122.26,False,2919.19,IDEB Alto,Alta Densidade,-2.79331,-40.5127
JUAZEIRO DO NORTE,4495,5.25,98.84,98.84,286120.0,1105.62,False,1571.02,IDEB Baixo,Alta Densidade,-7.19621,-39.3076
JUCAS,1297,6.4,97.74,97.74,23922.0,25.44,False,5421.79,IDEB Alto,Baixa Densidade,-6.51523,-39.5187
LAVRAS DA MANGABEIRA,1484,5.050000000000001,98.99,98.99,30802.0,32.59,False,4817.87,IDEB Baixo,Baixa Densidade,-6.7448,-38.9706
LIMOEIRO DO NORTE,1719,6.6,99.67,99.67,59560.0,80.0,False,2886.17,IDEB Alto,Alta Densidade,-5.14392,-38.0847
MADALENA,1015,5.5,97.94,97.94,16896.0,16.93,False,6007.34,IDEB Baixo,Baixa Densidade,-4.84601,-39.5725
MARACANAU,4403,5.85,98.83,98.83,234509.0,2231.91,False,1877.54,IDEB Baixo,Alta Densidade,-3.86699,-38.6259
MARANGUAPE,3728,5.550000000000001,98.11,98.11,105093.0,180.11,False,3547.33,IDEB Baixo,Alta Densidade,-3.89143,-38.6829
MARCO,1509,6.25,96.06,96.06,25799.0,44.98,False,5849.06,IDEB Alto,Alta Densidade,-3.1285,-40.1582
MARTINOPOLE,703,6.75,99.62,99.62,10846.0,35.74,False,6481.65,IDEB Alto,Baixa Densidade,-3.2252,-40.6896
MASSAPE,1492,6.65,99.41,99.41,37697.0,66.39,False,3957.87,IDEB Alto,Alta Densidade,-3.52364,-40.3423
MAURITI,2587,5.2,98.43,98.43,45561.0,42.22,False,5678.1,IDEB Baixo,Alta Densidade,-7.38597,-38.7708
MERUOCA,656,7.1,99.26,99.26,15157.0,99.95,False,4328.03,IDEB Alto,Alta Densidade,-3.53974,-40.4531
MILAGRES,1572,5.4,99.39,99.39,25900.0,44.72,False,6069.5,IDEB Baixo,Alta Densidade,-7.29749,-38.9378
MILHA,613,8.25,98.94,98.94,14123.0,28.13,False,4340.44,IDEB Alto,Baixa Densidade,-5.67252,-39.1875
MIRAIMA,734,5.300000000000001,98.55,98.55,14196.0,20.03,False,5170.47,IDEB Baixo,Baixa Densidade,-3.56867,-39.9663
MISSAO VELHA,1921,5.05,99.16,99.16,36822.0,60.04,False,5216.99,IDEB Baixo,Alta Densidade,-7.23522,-39.143
MOMBACA,1829,6.4,99.23,99.23,37735.0,17.84,False,4846.96,IDEB Alto,Baixa Densidade,-5.73844,-39.63
MONSENHOR TABOSA,1106,7.85,98.99,98.99,17149.0,19.21,False,6449.36,IDEB Alto,Baixa Densidade,-4.79102,-40.0646
MORADA NOVA,2025,5.7,98.55,98.55,61443.0,22.23,False,3295.74,IDEB Baixo,Baixa Densidade,-5.09736,-38.3702
MORAUJO,518,6.25,99.56,99.56,8254.0,19.92,False,6275.75,IDEB Alto,Baixa Densidade,-3.46311,-40.6776
MORRINHOS,1032,6.15,98.74,98.74,22753.0,55.28,False,4535.67,IDEB Alto,Alta Densidade,-3.23426,-40.1233
MUCAMBO,387,7.65,99.27,99.27,13666.0,71.11,False,2831.85,IDEB Alto,Alta Densidade,-3.90271,-40.7452
MULUNGU,680,5.85,99.59,99.59,10569.0,107.9,False,6433.91,IDEB Baixo,Alta Densidade,-4.30294,-38.9951
NOVA OLINDA,880,7.45,99.2,99.2,15399.0,54.49,False,5714.66,IDEB Alto,Alta Densidade,-7.08415,-39.6713
NOVA RUSSAS,967,6.35,99.55,99.55,30699.0,41.66,False,3149.94,IDEB Alto,Alta Densidade,-4.70581,-40.5621
NOVO ORIENTE,1580,8.85,99.68,99.68,27545.0,29.07,False,5736.07,IDEB Alto,Baixa Densidade,-5.52552,-40.7713
OCARA,882,5.8,99.73,99.73,24493.0,32.1,False,3601.03,IDEB Baixo,Baixa Densidade,-4.48523,-38.5933
OROS,1303,5.85,99.77,99.77,19675.0,34.07,False,6622.62,IDEB Baixo,Baixa Densidade,-6.25182,-38.9053
