"Local", "IDEB – Anos finais do ensino fundamental (Rede pública)"
"Jucás", 5.8
"Senador Sá", 6.2
"Morada Nova", 5.4
"Chaval", 5.2
"Pentecoste", 5.6
"Camocim", 5.9
"Chorozinho", 5.8
"Nova Olinda", 6.5
"Choró", 4.7
"Cascavel", 5.8
"Beberibe", 5.5
"Ibiapina", 5.2
"Ibicuitinga", 5.3
"Itatira", 5.9
"Potengi", 4.1
"Baixio", 4.5
"Alcântaras", 5.0
"Banabuiú", 5.1
"Quiterianópolis", 5.6
"Icapuí", 5.3
"Potiretama", 5.7
"Coreaú", 6.1
"Martinópole", 5.6
"Pacatuba", 5.1
"Pereiro", 5.6
"Uruburetama", 5.6
"Groaíras", 6.4
"São João do Jaguaribe", 5.9
"Missão Velha", 4.6
"Aquiraz", 5.0
"Pindoretama", 5.2
"Guaiúba", 4.9
"Catarina", 5.1
"Bela Cruz", 6.4
"Jardim", 4.8
"Jaguaretama", 5.3
"Quixadá", 4.8
"Barbalha", 4.9
"Altaneira", 5.0
"Palhano", 5.4
"Solonópole", 5.4
"Catunda", 8.4
"Icó", 4.2
"Barreira", 5.1
"Crateús", 5.3
"Pacoti", 5.3
"Uruoca", 6.3
"Jati", 4.8
"General Sampaio", 5.0
"São Luís do Curu", 4.9
"Varjota", 5.6
"Mombaça", 5.2
"Russas", 5.9
"Caucaia", 4.8
"Graça", 6.1
"Pedra Branca", 6.5
"Santa Quitéria", 5.7
"Jijoca de Jericoacoara", 7.8
"Tururu", 5.0
"Mucambo", 5.8
"Várzea Alegre", 5.4
"Cariús", 5.5
"Barro", 5.4
"Guaramiranga", 5.5
"Itapipoca", 5.7
"Barroquinha", 5.6
"Poranga", 5.1
"Assaré", 5.1
"Acopiara", 5.0
"Capistrano", 5.0
"Maranguape", 5.2
"Orós", 5.2
"Saboeiro", 5.2
"Penaforte", 4.7
"Ubajara", 6.1
"Granja", 5.6
"São Benedito", 6.0
"Meruoca", 6.1
"Salitre", 5.2
"Carnaubal", 5.5
"Baturité", 4.7
"Viçosa do Ceará", 5.4
"Itapiúna", 4.8
"Porteiras", 5.2
"Aurora", 4.9
"Aiuaba", 5.8
"Itarema", 5.2
"Hidrolândia", 5.4
"Ibaretama", 4.3
"Marco", 5.7
"Horizonte", 5.6
"Granjeiro", 5.4
"Pacajus", 5.2
"Umari", 5.7
"Jaguaruana", 5.4
"São Gonçalo do Amarante", 5.5
"Ipaumirim", 5.1
"Umirim", 4.5
"Fortaleza", 5.2
"Milagres", 5.1
"Miraíma", 5.2
"Redenção", 5.2
"Milhã", 7.4
"Fortim", 6.0
"Parambu", 5.5
"Apuiarés", 5.1
"Tauá", 5.4
"Tejuçuoca", 5.4
"Santana do Acaraú", 5.9
"Cariré", 5.8
"Sobral", 7.9
"Itaiçaba", 6.3
"Moraújo", 5.8
"Aratuba", 5.0
"Abaiara", 5.2
"Itaitinga", 5.1
"Campos Sales", 5.1
"Lavras da Mangabeira", 4.7
"Nova Russas", 5.5
"Acarape", 5.6
"Reriutaba", 5.9
"Paramoti", 5.4
"Tianguá", 5.7
"Ipu", 4.9
"Frecheirinha", 5.7
"Santana do Cariri", 4.9
"Massapê", 6.1
"Caririaçu", 5.0
"Itapajé", 5.7
"Arneiroz", 4.7
"Acaraú", 5.3
"Quixelô", 5.9
"Guaraciaba do Norte", 5.7
"Limoeiro do Norte", 6.0
"Morrinhos", 5.5
"Madalena", 5.2
"Aracati", 5.3
"Piquet Carneiro", 5.8
"Canindé", 5.9
"Ipueiras", 5.8
"Maracanaú", 5.3
"Novo Oriente", 8.2
"Ocara", 5.5
"Pires Ferreira", 9.2
"Boa Viagem", 5.1
"Trairi", 5.3
"Iguatu", 4.8
"Crato", 5.4
"Mauriti", 4.9
"Quixeramobim", 5.5
"Cruz", 7.2
"Alto Santo", 5.5
"Palmácia", 5.4
"Tabuleiro do Norte", 5.7
"Croatá", 5.7
"Eusébio", 5.8
"Deputado Irapuan Pinheiro", 8.8
"Ereré", 4.7
"Jaguaribara", 5.2
"Pacujá", 5.2
"Amontada", 5.5
"Iracema", 5.2
"Senador Pompeu", 5.2
"Monsenhor Tabosa", 7.0
"Aracoiaba", 4.7
"Ararendá", 8.3
"Cedro", 5.7
"Brejo Santo", 6.4
"Juazeiro do Norte", 5.0
"Mulungu", 5.4
"Quixeré", 5.5
"Paracuru", 5.4
"Antonina do Norte", 4.5
"Tamboril", 7.3
"Independência", 7.3
"Farias Brito", 5.6
"Ipaporanga", 6.9
"Jaguaribe", 5.3
"Paraipaba", 5.4
"Forquilha", 6.0
"Caridade", 4.9
"Tarrafas", 5.1
"Irauçuba", 5.8
"Araripe", 4.9
