"Local", "IDEB – Anos iniciais do ensino fundamental (Rede pública)"
"Jucás", 7.0
"Senador Sá", 7.3
"Morada Nova", 6.0
"Chaval", 6.5
"Pentecoste", 6.7
"Camocim", 7.0
"Chorozinho", 6.5
"Nova Olinda", 8.4
"Choró", 5.9
"Cascavel", 7.1
"Beberibe", 6.1
"Ibiapina", 7.1
"Ibicuitinga", 5.9
"Itatira", 6.9
"Potengi", 5.5
"Baixio", 6.1
"Alcântaras", 7.8
"Banabuiú", 5.7
"Quiterianópolis", 6.4
"Icapuí", 6.0
"Potiretama", 6.6
"Coreaú", 9.5
"Martinópole", 7.9
"Pacatuba", 5.8
"Pereiro", 8.1
"Uruburetama", 6.3
"Groaíras", 7.8
"São João do Jaguaribe", 6.4
"Missão Velha", 5.5
"Aquiraz", 6.2
"Pindoretama", 6.5
"Guaiúba", 5.5
"Catarina", 5.5
"Bela Cruz", 7.1
"Jardim", 5.6
"Jaguaretama", 6.2
"Quixadá", 6.0
"Barbalha", 5.5
"Altaneira", 8.4
"Palhano", 6.8
"Solonópole", 7.5
"Catunda", 8.3
"Icó", 5.6
"Barreira", 6.1
"Crateús", 6.5
"Pacoti", 6.6
"Uruoca", 7.7
"Jati", 6.5
"General Sampaio", 6.1
"São Luís do Curu", 5.5
"Varjota", 6.9
"Mombaça", 7.6
"Russas", 7.0
"Caucaia", 5.5
"Graça", 6.9
"Pedra Branca", 9.5
"Santa Quitéria", 6.2
"Jijoca de Jericoacoara", 9.7
"Tururu", 5.8
"Mucambo", 9.5
"Várzea Alegre", 6.7
"Cariús", 6.9
"Barro", 6.0
"Guaramiranga", 6.8
"Itapipoca", 6.4
"Barroquinha", 7.4
"Poranga", 6.4
"Assaré", 6.1
"Acopiara", 5.8
"Capistrano", 5.7
"Maranguape", 5.9
"Orós", 6.5
"Saboeiro", 5.8
"Penaforte", 6.2
"Ubajara", 7.4
"Granja", 7.5
"São Benedito", 7.7
"Meruoca", 8.1
"Salitre", 6.2
"Carnaubal", 6.5
"Baturité", 5.8
"Viçosa do Ceará", 6.2
"Itapiúna", 7.4
"Porteiras", 6.4
"Aurora", 5.5
"Aiuaba", 6.2
"Itarema", 6.7
"Hidrolândia", 7.4
"Ibaretama", 4.9
"Marco", 6.8
"Horizonte", 7.0
"Granjeiro", 7.4
"Pacajus", 7.4
"Umari", 6.2
"Jaguaruana", 6.5
"São Gonçalo do Amarante", 6.4
"Ipaumirim", 6.0
"Umirim", 5.5
"Fortaleza", 6.0
"Milagres", 5.7
"Miraíma", 5.4
"Redenção", 6.2
"Milhã", 9.1
"Fortim", 7.1
"Parambu", 6.6
"Apuiarés", 6.8
"Tauá", 6.2
"Tejuçuoca", 6.5
"Santana do Acaraú", 6.3
"Cariré", 7.2
"Sobral", 9.6
"Itaiçaba", 6.8
"Moraújo", 6.7
"Aratuba", 6.1
"Abaiara", 6.3
"Itaitinga", 6.3
"Campos Sales", 5.5
"Lavras da Mangabeira", 5.4
"Nova Russas", 7.2
"Acarape", 5.6
"Reriutaba", 7.2
"Paramoti", 6.1
"Tianguá", 6.1
"Ipu", 6.7
"Frecheirinha", 7.6
"Santana do Cariri", 5.7
"Massapê", 7.2
"Caririaçu", 5.9
"Itapajé", 7.0
"Arneiroz", 5.8
"Acaraú", 6.5
"Quixelô", 5.7
"Guaraciaba do Norte", 8.3
"Limoeiro do Norte", 7.2
"Morrinhos", 6.8
"Madalena", 5.8
"Aracati", 6.7
"Piquet Carneiro", 8.8
"Canindé", 6.8
"Ipueiras", 7.6
"Maracanaú", 6.4
"Novo Oriente", 9.5
"Ocara", 6.1
"Pires Ferreira", 10.0
"Boa Viagem", 5.8
"Trairi", 6.3
"Iguatu", 5.7
"Crato", 6.5
"Mauriti", 5.5
"Quixeramobim", 6.7
"Cruz", 8.8
"Alto Santo", 6.7
"Palmácia", 6.7
"Tabuleiro do Norte", 6.7
"Croatá", 8.8
"Eusébio", 7.2
"Deputado Irapuan Pinheiro", 9.4
"Ereré", 5.7
"Jaguaribara", 6.6
"Pacujá", 6.2
"Amontada", 6.1
"Iracema", 5.8
"Senador Pompeu", 8.7
"Monsenhor Tabosa", 8.7
"Aracoiaba", 6.1
"Ararendá", 9.4
"Cedro", 6.9
"Brejo Santo", 6.3
"Juazeiro do Norte", 5.5
"Mulungu", 6.3
"Quixeré", 6.7
"Paracuru", 7.3
"Antonina do Norte", 5.6
"Tamboril", 9.2
"Independência", 9.6
"Farias Brito", 6.4
"Ipaporanga", 8.5
"Jaguaribe", 6.7
"Paraipaba", 7.4
"Forquilha", 6.7
"Caridade", 6.8
"Tarrafas", 6.2
"Irauçuba", 6.7
"Araripe", 6.0
