"Local", "Densidade demográfica"
"Jucás", 25.44
"Senador Sá", 17.10
"Morada Nova", 22.23
"Chaval", 52.53
"Pentecoste", 27.40
"Camocim", 55.63
"Chorozinho", 68.02
"Nova Olinda", 54.49
"Choró", 14.86
"Cascavel", 86.77
"Beberibe", 33.26
"Ibiapina", 57.87
"Ibicuitinga", 27.39
"Itatira", 24.62
"Potengi", 25.73
"Baixio", 39.19
"Alcântaras", 83.74
"Banabuiú", 15.91
"Quiterianópolis", 19.40
"Icapuí", 50.86
"Potiretama", 14.60
"Coreaú", 27.92
"Martinópole", 35.74
"Pacatuba", 611.88
"Pereiro", 35.04
"Uruburetama", 203.11
"Groaíras", 70.08
"São João do Jaguaribe", 20.95
"Missão Velha", 60.04
"Aquiraz", 167.93
"Pindoretama", 315.95
"Guaiúba", 95.00
"Catarina", 20.98
"Bela Cruz", 38.92
"Jardim", 50.30
"Jaguaretama", 9.43
"Quixadá", 41.66
"Barbalha", 123.38
"Altaneira", 93.32
"Palhano", 21.39
"Solonópole", 11.84
"Catunda", 13.32
"Icó", 33.57
"Barreira", 86.12
"Crateús", 25.62
"Pacoti", 99.49
"Uruoca", 19.70
"Jati", 21.34
"General Sampaio", 29.23
"São Luís do Curu", 88.08
"Varjota", 101.01
"Mombaça", 17.84
"Russas", 45.27
"Caucaia", 290.77
"Graça", 53.30
"Pedra Branca", 30.86
"Santa Quitéria", 9.43
"Jijoca de Jericoacoara", 122.26
"Tururu", 76.57
"Mucambo", 71.11
"Várzea Alegre", 46.97
"Cariús", 16.42
"Barro", 27.25
"Guaramiranga", 62.26
"Itapipoca", 81.93
"Barroquinha", 37.78
"Poranga", 9.20
"Assaré", 18.78
"Acopiara", 19.95
"Capistrano", 76.16
"Maranguape", 180.11
"Orós", 34.07
"Saboeiro", 10.03
"Penaforte", 59.60
"Ubajara", 77.34
"Granja", 20.03
"São Benedito", 135.79
"Meruoca", 99.95
"Salitre", 20.63
"Carnaubal", 47.38
"Baturité", 112.13
"Viçosa do Ceará", 45.55
"Itapiúna", 30.07
"Porteiras", 75.82
"Aurora", 26.77
"Aiuaba", 5.77
"Itarema", 60.09
"Hidrolândia", 19.27
"Ibaretama", 13.60
"Marco", 44.98
"Horizonte", 465.60
"Granjeiro", 43.41
"Pacajus", 283.59
"Umari", 26.11
"Jaguaruana", 37.10
"São Gonçalo do Amarante", 64.25
"Ipaumirim", 43.70
"Umirim", 55.35
"Fortaleza", 7775.52
"Milagres", 44.72
"Miraíma", 20.03
"Redenção", 109.74
"Milhã", 28.13
"Fortim", 60.68
"Parambu", 13.59
"Apuiarés", 23.77
"Tauá", 15.27
"Tejuçuoca", 22.61
"Santana do Acaraú", 31.49
"Cariré", 23.34
"Sobral", 98.15
"Itaiçaba", 35.28
"Moraújo", 19.92
"Aratuba", 93.72
"Abaiara", 55.51
"Itaitinga", 420.66
"Campos Sales", 23.22
"Lavras da Mangabeira", 32.59
"Nova Russas", 41.66
"Acarape", 107.90
"Reriutaba", 49.89
"Paramoti", 19.26
"Tianguá", 89.58
"Ipu", 65.62
"Frecheirinha", 74.46
"Santana do Cariri", 19.83
"Massapê", 66.39
"Caririaçu", 41.50
"Itapajé", 107.42
"Arneiroz", 6.95
"Acaraú", 77.47
"Quixelô", 26.28
"Guaraciaba do Norte", 67.33
"Limoeiro do Norte", 80.00
"Morrinhos", 55.28
"Madalena", 16.93
"Aracati", 61.21
"Piquet Carneiro", 28.18
"Canindé", 24.46
"Ipueiras", 24.81
"Maracanaú", 2231.91
"Novo Oriente", 29.07
"Ocara", 32.10
"Pires Ferreira", 43.38
"Boa Viagem", 17.78
"Trairi", 62.90
"Iguatu", 98.83
"Crato", 115.14
"Mauriti", 42.22
"Quixeramobim", 24.71
"Cruz", 88.60
"Alto Santo", 12.34
"Palmácia", 79.46
"Tabuleiro do Norte", 29.26
"Croatá", 25.10
"Eusébio", 941.03
"Deputado Irapuan Pinheiro", 18.96
"Ereré", 17.84
"Jaguaribara", 16.62
"Pacujá", 69.89
"Amontada", 35.88
"Iracema", 16.68
"Senador Pompeu", 25.36
"Monsenhor Tabosa", 19.21
"Aracoiaba", 39.68
"Ararendá", 32.42
"Cedro", 30.61
"Brejo Santo", 78.04
"Juazeiro do Norte", 1105.62
"Mulungu", 107.90
"Quixeré", 34.05
"Paracuru", 127.91
"Antonina do Norte", 27.90
"Tamboril", 12.32
"Independência", 7.46
"Farias Brito", 34.34
"Ipaporanga", 16.42
"Jaguaribe", 17.97
"Paraipaba", 111.39
"Forquilha", 42.50
"Caridade", 17.68
"Tarrafas", 18.24
"Irauçuba", 16.31
"Araripe", 18.03
