"Local", "Percentual da população com rendimento nominal mensal per capita de até 1/2 salário mínimo"
"Jucás", 53.6
"Senador Sá", 55.1
"Morada Nova", 53.5
"Chaval", 58.6
"Pentecoste", 53.9
"Camocim", 56
"Chorozinho", 50.1
"Nova Olinda", 54.7
"Choró", 60.8
"Cascavel", 48.1
"Beberibe", 53.3
"Ibiapina", 52.1
"Ibicuitinga", 58.7
"Itatira", 58
"Potengi", 53.7
"Baixio", 52
"Alcântaras", 52.4
"Banabuiú", 55.4
"Quiterianópolis", 58.8
"Icapuí", 51.5
"Potiretama", 55.4
"Coreaú", 56.9
"Martinópole", 57.4
"Pacatuba", 42.5
"Pereiro", 57.5
"Uruburetama", 51.2
"Groaíras", 49.7
"São João do Jaguaribe", 49
"Missão Velha", 51.9
"Aquiraz", 44.9
"Pindoretama", 46.4
"Guaiúba", 51.5
"Catarina", 57.8
"Bela Cruz", 57.4
"Jardim", 54.4
"Jaguaretama", 56.8
"Quixadá", 49.2
"Barbalha", 44.8
"Altaneira", 55.4
"Palhano", 50.1
"Solonópole", 52.2
"Catunda", 56.2
"Icó", 53.1
"Barreira", 52.1
"Crateús", 50.3
"Pacoti", 50.5
"Uruoca", 59.6
"Jati", 53.5
"General Sampaio", 52.4
"São Luís do Curu", 53.1
"Varjota", 52.3
"Mombaça", 54
"Russas", 42.2
"Caucaia", 43.6
"Graça", 58.6
"Pedra Branca", 54.9
"Santa Quitéria", 55.7
"Jijoca de Jericoacoara", 48.5
"Tururu", 58.8
"Mucambo", 56.5
"Várzea Alegre", 53.7
"Cariús", 55.5
"Barro", 54.5
"Guaramiranga", 47.7
"Itapipoca", 53
"Barroquinha", 59.8
"Poranga", 56.1
"Assaré", 54.4
"Acopiara", 54.4
"Capistrano", 58.1
"Maranguape", 45.7
"Orós", 51.1
"Saboeiro", 55.8
"Penaforte", 50.1
"Ubajara", 47.8
"Granja", 60.6
"São Benedito", 52.3
"Meruoca", 50.1
"Salitre", 56.5
"Carnaubal", 54.7
"Baturité", 49.6
"Viçosa do Ceará", 58.6
"Itapiúna", 57.9
"Porteiras", 55.5
"Aurora", 55.5
"Aiuaba", 57.6
"Itarema", 57.4
"Hidrolândia", 53.3
"Ibaretama", 57.2
"Marco", 49.6
"Horizonte", 39.8
"Granjeiro", 54.9
"Pacajus", 42.9
"Umari", 55.1
"Jaguaruana", 51
"São Gonçalo do Amarante", 49
"Ipaumirim", 50.8
"Umirim", 56.7
"Fortaleza", 36.9
"Milagres", 52.7
"Miraíma", 59.3
"Redenção", 50.7
"Milhã", 52
"Fortim", 52.8
"Parambu", 56.4
"Apuiarés", 56.5
"Tauá", 53.1
"Tejuçuoca", 55.7
"Santana do Acaraú", 59.5
"Cariré", 56
"Sobral", 44.2
"Itaiçaba", 49.5
"Moraújo", 60.1
"Aratuba", 56
"Abaiara", 54
"Itaitinga", 47.9
"Campos Sales", 52.8
"Lavras da Mangabeira", 56.1
"Nova Russas", 51.2
"Acarape", 49.1
"Reriutaba", 56.2
"Paramoti", 56.1
"Tianguá", 49.5
"Ipu", 52.1
"Frecheirinha", 51.1
"Santana do Cariri", 56.5
"Massapê", 50.9
"Caririaçu", 54.9
"Itapajé", 52.7
"Arneiroz", 52.4
"Acaraú", 56.5
"Quixelô", 55.2
"Guaraciaba do Norte", 52.9
"Limoeiro do Norte", 43.8
"Morrinhos", 55.9
"Madalena", 55
"Aracati", 48.8
"Piquet Carneiro", 56.9
"Canindé", 54
"Ipueiras", 56.9
"Maracanaú", 42
"Novo Oriente", 60.4
"Ocara", 57
"Pires Ferreira", 59.2
"Boa Viagem", 55.6
"Trairi", 57.4
"Iguatu", 43.4
"Crato", 43
"Mauriti", 57.2
"Quixeramobim", 49.1
"Cruz", 54.9
"Alto Santo", 51.5
"Palmácia", 54.4
"Tabuleiro do Norte", 47.2
"Croatá", 60.3
"Eusébio", 40.7
"Deputado Irapuan Pinheiro", 55.9
"Ereré", 53.7
"Jaguaribara", 47.3
"Pacujá", 52.8
"Amontada", 58.2
"Iracema", 50.6
"Senador Pompeu", 50.4
"Monsenhor Tabosa", 56.3
"Aracoiaba", 52.8
"Ararendá", 56.7
"Cedro", 52.6
"Brejo Santo", 49.6
"Juazeiro do Norte", 42.4
"Mulungu", 53.9
"Quixeré", 49.1
"Paracuru", 50.4
"Antonina do Norte", 54.6
"Tamboril", 57.3
"Independência", 54.9
"Farias Brito", 55.6
"Ipaporanga", 58.3
"Jaguaribe", 50
"Paraipaba", 51.4
"Forquilha", 45.1
"Caridade", 55.4
"Tarrafas", 55.8
"Irauçuba", 56.8
"Araripe", 58.3
